area,circularity,extent,perimeter,solidity
969,0.28909,0.60714,205.24,0.83679
556,0.377,0.54033,136.14,0.74933
1783,0.12965,0.54626,415.71,0.70726
554,0.14265,0.12747,220.91,0.35019
555,0.15159,0.17387,214.5,0.36537
559,0.35413,0.50818,140.84,0.71392
808,0.32355,0.59021,177.15,0.81288
755,0.67967,0.6933,118.15,0.90854
834,0.74265,0.72208,118.79,0.94025
795,0.89206,0.75284,105.83,0.96481
794,0.99919,0.77539,99.929,0.97543
749,0.72448,0.68842,113.98,0.93043
1969,0.28107,0.69601,296.7,0.84834
1469,0.19074,0.54813,311.09,0.74873
1268,0.58904,0.50801,164.47,0.88486
1300,0.68041,0.77658,154.95,0.89779
1188,0.72151,0.58235,143.84,0.8787
1933,0.28533,0.56686,291.77,0.77944
2224,0.27692,0.68536,317.69,0.87216
956,0.40111,0.32807,173.06,0.71184
902,0.41936,0.34961,164.4,0.71136
862,0.45788,0.4416,153.81,0.73928
1019,0.22843,0.42565,236.76,0.67933
1296,0.55499,0.50863,171.3,0.86228
511,0.3948,0.59766,127.53,0.75592
920,0.41083,0.35659,167.75,0.71763
892,0.40327,0.4496,166.72,0.74769
1285,0.69385,0.50432,152.55,0.88134
577,0.384,0.32784,137.41,0.79041
812,0.89511,0.76894,106.77,0.96209
587,0.46089,0.36688,126.51,0.7421
397,0.17629,0.15263,168.22,0.36355
609,0.31921,0.36775,154.84,0.72328
1673,0.16942,0.37178,352.26,0.61148
1268,0.35874,0.54188,210.75,0.85618
517,0.15395,0.21016,205.43,0.35903
476,0.15655,0.20204,195.47,0.35181
887,0.35873,0.4402,176.27,0.70008
1218,0.15691,0.40492,312.32,0.62048
1252,0.56256,0.50261,167.23,0.85519
808,0.87693,0.74197,107.6,0.95735
550,0.40622,0.40741,130.44,0.71336
968,0.40544,0.33379,173.21,0.71651
2119,0.26225,0.65889,318.65,0.83921
778,0.69444,0.71442,118.65,0.93961
822,0.7547,0.73262,116.99,0.94266
759,0.83681,0.76512,106.76,0.95352
772,0.95562,0.77823,100.76,0.96985
944,0.4059,0.33123,170.95,0.71084
2040,0.25181,0.63433,319.07,0.83401
757,1.0028,0.78772,97.398,0.97677
528,0.35559,0.51312,136.6,0.73435
753,0.95692,0.75907,99.441,0.95437
764,0.96159,0.77016,99.921,0.96222
941,0.42497,0.3712,166.81,0.70329
1917,0.26311,0.64742,302.58,0.84785
751,0.96866,0.78148,98.705,0.97154
537,0.387,0.55937,132.05,0.76496
758,0.97949,0.76411,98.614,0.96193
458,0.1464,0.19573,198.28,0.33578
961,0.41454,0.36962,170.68,0.703
2055,0.21206,0.64219,348.96,0.8283
772,0.88176,0.77823,104.89,0.95782
557,0.37048,0.55258,137.45,0.73289
543,0.40428,0.55015,129.92,0.74486
470,0.15051,0.20085,198.09,0.34009
965,0.40734,0.38067,172.54,0.70852
2111,0.18649,0.64438,377.16,0.82236
790,0.64251,0.7261,124.3,0.91224
559,0.39169,0.55456,133.92,0.73168
557,0.40312,0.59255,131.77,0.76616
458,0.39384,0.38552,120.89,0.77891
964,0.43192,0.37656,167.47,0.7146
906,0.40702,0.42257,167.25,0.69479
1921,0.21218,0.63863,337.3,0.82837
545,0.40045,0.56771,130.78,0.74966
540,0.42622,0.57447,126.18,0.75314
449,0.42409,0.40161,115.34,0.78634
558,0.15383,0.13853,213.5,0.36423
919,0.40493,0.43596,168.88,0.7053
2087,0.23297,0.61382,335.52,0.83114
566,0.38513,0.58958,135.9,0.75567
550,0.42499,0.55724,127.53,0.75653
449,0.4318,0.40161,114.31,0.8061
572,0.15921,0.12672,212.48,0.37288
912,0.40718,0.43264,167.77,0.70643
546,0.14623,0.13379,216.61,0.37397
566,0.37561,0.58958,137.61,0.76486
555,0.41464,0.56231,129.69,0.75716
463,0.39934,0.38973,120.7,0.79145
535,0.15305,0.16331,209.59,0.38462
558,0.36672,0.56535,138.28,0.72468
814,0.075657,0.14779,367.7,0.29082
555,0.15572,0.20896,211.63,0.36441
573,0.37039,0.58055,139.43,0.75494
478,0.41104,0.40236,120.89,0.75873
870,0.61543,0.73232,133.28,0.91291
557,0.44955,0.5766,124.78,0.75474
2417,0.26652,0.57699,337.58,0.8089
819,0.6397,0.68824,126.84,0.92022
551,0.39215,0.55826,132.88,0.75171
445,0.42635,0.4704,114.53,0.74539
504,0.39656,0.38298,126.38,0.79121
882,0.49447,0.72059,149.72,0.88911
1277,0.54617,0.53543,171.41,0.86635
2194,0.20585,0.53775,365.97,0.78582
528,0.39082,0.53495,130.3,0.74053
390,0.40722,0.52846,109.7,0.81081
532,0.34943,0.43535,138.32,0.67857
1361,0.54286,0.53373,177.5,0.85329
2092,0.21264,0.51388,351.61,0.79363
1262,0.61183,0.52914,161,0.87578
517,0.40791,0.5129,126.2,0.73126
355,0.37719,0.52206,108.75,0.82944
508,0.44258,0.46014,120.1,0.73517
1343,0.62151,0.51634,164.78,0.8576
2276,0.29192,0.53302,313.01,0.80113
1272,0.62481,0.52174,159.95,0.85714
242,0.27632,0.24494,104.91,0.44649
396,0.41656,0.48293,109.3,0.78416
505,0.37844,0.43913,129.49,0.70139
470,0.14898,0.14055,199.11,0.34712
2500,0.3359,0.56792,305.82,0.80334
1260,0.62751,0.5283,158.85,0.86837
269,0.31285,0.28021,103.95,0.51141
450,0.44102,0.47569,113.23,0.76271
929,0.42611,0.3482,165.52,0.7224
915,0.34373,0.61824,182.9,0.84254
2341,0.3439,0.55738,292.48,0.82054
1280,0.57124,0.52675,167.8,0.86137
879,0.3929,0.32245,167.67,0.69928
389,0.39941,0.49936,110.63,0.78745
937,0.411,0.34373,169.26,0.72132
920,0.25484,0.62162,212.99,0.8207
2344,0.31144,0.54895,307.54,0.808
818,0.74776,0.75184,117.25,0.94457
1168,0.59144,0.50783,157.53,0.85193
411,0.3684,0.47735,118.4,0.76252
1007,0.18747,0.55759,259.81,0.75149
956,0.4277,0.34339,167.6,0.72424
1167,0.078289,0.21539,432.8,0.3835
491,0.14805,0.13093,204.15,0.33584
1218,0.69763,0.51786,148.12,0.875
333,0.4001,0.69375,102.27,0.84304
1171,0.50881,0.53617,170.06,0.83763
2244,0.2076,0.68,368.56,0.86275
568,0.16089,0.13042,210.63,0.39254
1935,0.12423,0.32336,442.41,0.51821
545,0.15482,0.13437,210.33,0.35528
518,0.16442,0.13835,198.97,0.36921
1505,0.20621,0.51612,302.84,0.75363
437,0.34783,0.50814,125.65,0.73818
567,0.15989,0.14851,211.1,0.38003
552,0.16002,0.12483,208.2,0.37628
1440,0.12972,0.33835,373.49,0.49655
457,0.43482,0.30066,114.92,0.82491
586,0.15419,0.16037,218.53,0.35451
523,0.16233,0.14337,201.21,0.36169
1253,0.34414,0.72261,213.9,0.86058
499,0.14705,0.13861,206.5,0.34993
492,0.1606,0.19256,196.21,0.36965
788,0.91135,0.74621,104.24,0.96333
164,0.13377,0.46724,124.12,0.59206
774,1.0394,0.75586,96.737,0.97727
558,0.13109,0.13778,231.28,0.32843
455,0.15278,0.13446,193.45,0.33604
1164,0.66515,0.75097,148.29,0.8845
542,0.17039,0.15642,199.94,0.38659
396,0.18228,0.165,165.23,0.40244
800,0.71827,0.73462,118.31,0.93132
784,0.77614,0.74242,112.67,0.94915
1341,0.52534,0.54712,179.1,0.84873
408,0.17111,0.14489,173.1,0.37294
1293,0.37531,0.72437,208.07,0.86258
385,0.1853,0.16595,161.58,0.40526
1467,0.26571,0.62692,263.4,0.79126
810,0.81657,0.7438,111.65,0.94077
771,0.97946,0.77722,99.458,0.97719
1328,0.52141,0.56152,178.9,0.8464
345,0.17676,0.14163,156.61,0.3916
1197,0.4396,0.74813,184.98,0.86614
824,0.88773,0.71342,108,0.9537
1231,0.67447,0.607,151.44,0.85844
2175,0.20591,0.64617,364.33,0.84204
744,0.951,0.775,99.152,0.97001
788,0.8813,0.74621,106,0.94826
397,0.17607,0.1426,168.33,0.3781
1163,0.73092,0.77533,141.4,0.89256
1262,0.71817,0.5151,148.6,0.88561
1242,0.40049,0.56098,197.41,0.80493
1823,0.16087,0.6527,377.36,0.81022
795,0.9449,0.77637,102.82,0.97307
729,1.0348,0.78387,94.09,0.9746
1231,0.73851,0.55054,144.73,0.88244
1147,0.74551,0.79103,139.05,0.8975
1269,0.73584,0.49765,147.21,0.89053
874,0.44792,0.38083,156.59,0.73322
1998,0.20629,0.64224,348.87,0.81684
789,1.0434,0.77051,97.481,0.98012
739,0.96805,0.76899,97.944,0.97365
1238,0.7294,0.55367,146.04,0.88051
1154,0.68941,0.79586,145.03,0.8925
1271,0.70956,0.49843,150.03,0.89006
881,0.45357,0.3765,156.23,0.74096
1946,0.18774,0.5962,360.91,0.78817
794,0.87527,0.77539,106.77,0.95663
732,1.0125,0.7871,95.314,0.9734
557,0.14406,0.24344,220.43,0.47935
1159,0.74452,0.79931,139.87,0.90124
