area,circularity,extent,perimeter,solidity
413,0.36649,0.36101,119,0.78967
383,0.42305,0.29552,106.66,0.79296
1554,0.25329,0.5747,277.67,0.81361
1373,0.61737,0.78011,167.17,0.9027
1265,0.72466,0.73718,148.11,0.88523
1071,0.24196,0.63712,235.84,0.84331
728,0.87143,0.7828,102.46,0.95789
734,1.0697,0.81556,92.858,0.99189
271,0.34687,0.35847,99.085,0.7765
1130,0.7735,0.53504,135.49,0.89328
1181,0.73642,0.50255,141.96,0.89199
1225,0.38727,0.53377,199.37,0.85188
1262,0.72383,0.79371,148.02,0.88375
1263,0.7227,0.73601,148.19,0.88075
945,0.3646,0.69028,180.47,0.88983
715,1.0565,0.79444,92.221,0.9808
735,1.067,0.81667,93.04,0.99057
1130,0.77039,0.53504,135.76,0.89046
1181,0.74631,0.51348,141.02,0.89199
1304,0.21114,0.53355,278.59,0.81704
1312,0.64641,0.78375,159.7,0.88889
398,0.14471,0.1515,185.91,0.3265
1084,0.24086,0.67792,237.81,0.84489
735,0.82628,0.79032,105.73,0.95207
179,0.21902,0.22832,101.34,0.40774
747,1.0585,0.80323,94.173,0.98679
1139,0.77342,0.5393,136.04,0.88846
1192,0.74328,0.5081,141.96,0.89422
